msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=49, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=50, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=51, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=52, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=53, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=54, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=55, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=56, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=57, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=58, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=59, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=60, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=61, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=62, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=63, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=64, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=65, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=66, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=67, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=68, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=69, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=70, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=71, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=72, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=73, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=74, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=75, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=76, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=77, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=78, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=79, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=80, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=81, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=82, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=83, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=84, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=85, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=86, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=87, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=88, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=89, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=90, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=91, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=92, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=93, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=94, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=95, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=96, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=97, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=98, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=99, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=100, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=101, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=102, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=103, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=104, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=105, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=106, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=107, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=108, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=109, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=110, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=111, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=112, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=113, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=114, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=115, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=116, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=117, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=118, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=119, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=120, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=121, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=122, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=123, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=124, dtype=float value=16.000000
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=125, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=126, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=127, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=128, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=129, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=130, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=131, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=132, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=133, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=134, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=135, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=136, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=137, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=138, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=139, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=140, dtype=float value=-inf
msg='acc_s' BlockIdx=(0, 0, 0), ThreadIdx=(0, 0, 0): buffer=acc_s, index=141, dtype=float value=-inf
